label,importance_type,patch_index,importance
cv_720h_fold1,patch_attention_layer1,90,0.0007022388163022697
cv_720h_fold1,patch_attention_layer1,91,0.017493190243840218
cv_720h_fold1,patch_attention_layer1,92,0.00849500484764576
cv_720h_fold1,patch_attention_layer1,93,0.0005867007421329618
cv_720h_fold1,patch_attention_layer1,94,4.0087299566948786e-05
cv_720h_fold1,patch_attention_layer1,95,0.006296925712376833
cv_720h_fold1,patch_attention_layer1,96,0.00015365437138825655
cv_720h_fold1,patch_attention_layer1,97,0.013512800447642803
cv_720h_fold1,patch_attention_layer1,98,0.00035205407766625285
cv_720h_fold1,patch_attention_layer1,99,0.0013204057468101382
cv_720h_fold1,patch_attention_layer1,100,0.001547430525533855
cv_720h_fold1,patch_attention_layer1,101,0.00037459394661709666
cv_720h_fold1,patch_attention_layer1,102,0.01060405746102333
cv_720h_fold1,patch_attention_layer1,103,0.04054925963282585
cv_720h_fold1,patch_attention_layer1,104,0.006192740984261036
cv_720h_fold1,patch_attention_layer1,105,0.008243190124630928
cv_720h_fold1,patch_attention_layer1,106,0.00542672211304307
cv_720h_fold1,patch_attention_layer1,107,0.012541753239929676
cv_720h_fold1,patch_attention_layer1,108,0.007309454958885908
cv_720h_fold1,patch_attention_layer1,109,0.00308414688333869
cv_720h_fold1,patch_attention_layer1,110,0.0018062284216284752
cv_720h_fold1,patch_attention_layer1,111,0.0008763739606365561
cv_720h_fold1,patch_attention_layer1,112,0.0028019321616739035
cv_720h_fold1,patch_attention_layer1,113,0.0014108006143942475
cv_720h_fold1,patch_attention_layer1,114,0.00010528475104365498
cv_720h_fold1,patch_attention_layer1,115,0.0006710583693347871
cv_720h_fold1,patch_attention_layer1,116,7.162363908719271e-05
cv_720h_fold1,patch_attention_layer1,117,0.00011244640336371958
cv_720h_fold1,patch_attention_layer1,118,0.0004973082104697824
cv_720h_fold1,patch_attention_layer1,119,0.018217528238892555
cv_720h_fold1,patch_attention_layer1,120,0.01084191631525755
cv_720h_fold1,patch_attention_layer1,121,0.00023760885233059525
cv_720h_fold1,patch_attention_layer1,122,1.6297615275107091e-06
